id,code,name,activefrom,activeto
1,NVV-PK-0001,TLI_โปรแกรมตรวจสุขภาพการนอน (Sleep Test),2026-03-16 10:50:15.000 +0700,2027-02-28 10:51:55.000 +0700
2,NVV-PK-0002,TLI_โปรแกรมตรวจสุขภาพ (Health Check up),2026-03-16 11:02:09.000 +0700,2027-02-28 11:02:18.000 +0700
3,NVV-PK-0003,Longevity_MRI+MRA Brain,2026-03-16 13:36:15.000 +0700,2026-12-31 13:37:02.000 +0700
4,NVV-PK-0004,Longevity_เอกซเรย์ปอด Chest X-ray,2026-03-16 13:24:09.000 +0700,2026-12-31 13:25:24.000 +0700
5,NVV-PK-0005,บริษัท เจเนอรัล อิเลคทรอนิค คอมเมอร์ซ เซอร์วิสเซส จำกัด โปรแกรมตรวจสุขภาพ ก่อนเข้าทำงาน-Walk in,2026-03-16 17:11:24.000 +0700,2028-03-31 17:12:16.000 +0700
6,NVV-PK-0006,Medicine,2026-03-07 10:56:55.000 +0700,
7,NVV-PK-0007,2024_(HomeMed)(500) Premium แพ็กเกจคลอดธรรมชาติ (NL) 3 วัน/2 คืน,2026-03-05 10:22:16.000 +0700,2027-01-31 10:22:24.000 +0700
8,NVV-PK-0008,บริษัท เอ็นโซล จำกัด และบริษัทในเครือ โปรแกรม 3 (ชาย-หญิง)-Walk in,2026-01-05 11:19:24.000 +0700,2026-12-31 11:20:02.000 +0700
9,NVV-PK-0009,บริษัท เอ็นโซล จำกัด และบริษัทในเครือ โปรแกรม 1 (ชาย-หญิง)-Walk in,2026-01-05 11:19:24.000 +0700,2026-12-31 11:20:02.000 +0700
10,NVV-PK-0010,steroid,2026-03-12 17:06:50.000 +0700,
11,NVV-PK-0011,EPs,2026-03-10 08:49:13.000 +0700,
12,NVV-PK-0012,2024_LR-NL  Premium แพ็กเกจคลอดธรรมชาติ (NL) 3 วัน/2 คืน,2026-03-05 11:57:13.000 +0700,2027-01-31 11:57:06.000 +0700
13,NVV-PK-0013,2024_(Homemed)(500) Premium แพ็กเกจผ่าตัดคลอด /ผ่าตัดคลอด+ทำหมัน (Cesarean /Cesarean with Sterilize),2026-03-05 10:28:32.000 +0700,2027-01-31 10:24:17.000 +0700
14,NVV-PK-0014,ครบรอบ 5 ปี คีย์ครั้งที่ 1 Pro Diamond for Male อายุ 40 ปีขึ้นไป สำหรับลูกค้าประกันและตัวแทน (เพิ่ม Fibro touch),2026-03-01 12:42:10.000 +0700,2026-09-30 16:26:54.000 +0700
15,NVV-PK-0015,ครบรอบ 5 ปี Platinum for Female อายุ 35 ปีขึ้นไป สำหรับลูกค้าประกันและตัวแทน (เพิ่ม ABI),2026-03-01 12:40:24.000 +0700,2026-09-30 16:22:54.000 +0700
16,NVV-PK-0016,Neuro_MRI Headache Screening Program,2026-03-11 13:51:16.000 +0700,2026-12-31 13:52:01.000 +0700
17,NVV-PK-0017,Neuro_MRI Dementia Screening Program,2026-03-11 13:58:19.000 +0700,2026-12-31 13:59:00.000 +0700
18,NVV-PK-0018,Neuro_MRI Stroke Screening Program,2026-03-11 13:54:47.000 +0700,2026-12-31 13:56:09.000 +0700
19,NVV-PK-0019,"2024_(LR)(3,400) แพ็กเกจผ่าตัดคลอด /ผ่าตัดคลอด+ทำหมัน (Cesarean /Cesarean with Sterilize)",2026-03-05 10:49:24.000 +0700,2027-01-31 10:49:31.000 +0700
20,NVV-PK-0020,ค่าบริการรับใหม่,2026-03-13 22:11:41.000 +0700,
21,NVV-PK-0021,2024_(Homemed) Premium แพ็กเกจผ่าตัดคลอดแฝด/ผ่าตัดคลอดแฝด+ทำหมัน (Twin Cesarean /Twin CS with Sterilize),2026-03-05 10:28:32.000 +0700,2027-01-31 10:24:17.000 +0700
22,NVV-PK-0022,ARI - HM,2022-08-05 17:39:16.000 +0700,
23,NVV-PK-0023,2024_(LR) Premium แพ็กเกจผ่าตัดคลอดแฝด/ผ่าตัดคลอดแฝด+ทำหมัน (Twin Cesarean /Twin CS with Sterilize),2026-03-05 13:35:00.000 +0700,2027-01-31 13:34:47.000 +0700
24,NVV-PK-0024,SET HighFlow ผู้ใหญ่ พ่นยา,2026-02-12 08:47:45.000 +0700,
25,NVV-PK-0025,2026 Community_Child_วัคซีนป้องกันไข้หวัดใหญ่ Flu (Vaxigrip TIV)-(ศูนย์สุขภาพเด็ก) 1 เข็ม,2026-03-06 10:26:36.000 +0700,2026-04-30 09:18:32.000 +0700
26,NVV-PK-0026,Patho,2026-03-07 10:54:30.000 +0700,
27,NVV-PK-0027,Stroke Equipment พ.ธนบูลย์,2026-01-27 18:58:31.000 +0700,
